28:4,9,1,5,3,1,2,2,4,3,1,1,9,5,4,2,6,5,2,1,8,8,3,8,3,9,3,6,9,4
29:6,5,3,5,8,3,5,3,6,8,1,8,3,6,5,9,5,1,9,7,4,2,7,9,5,6,2,4,3,6
30:5,5,1,7,4,7,3,2,6,9,2,6,5,9,9,1,4,6,1,5,4,1,3,9,3,4,3,4,1,2
31:4,2,1,6,4,1,2,8,1,2,7,8,2,3,1,8,9,6,8,1,4,3,7,2,4,6,5,1,8,6
32:6,8,5,4,8,1,6,9,2,5,8,8,5,3,8,9,5,5,8,3,6,6,9,5,8,4,1,5,4,8
33:2,8,8,2,8,6,8,8,4,8,2,4,7,6,2,2,3,4,9,2,9,8,4,7,8,2,9,3,2,6
34:8,6,2,9,7,2,7,5,1,6,5,4,7,8,5,3,9,6,7,1,9,6,4,6,4,6,5,5,7,5
35:5,3,6,9,5,1,1,5,1,5,1,3,5,7,5,7,2,6,7,8,7,5,9,1,5,8,6,6,9,5
36:5,9,5,8,3,2,2,8,4,5,9,4,9,8,6,5,9,2,6,4,1,2,1,2,2,8,4,8,2,2
37:1,4,2,9,9,3,4,2,3,7,3,1,7,1,8,6,6,8,4,6,2,9,2,5,8,7,5,6,8,8
38:7,1,5,3,5,3,2,4,4,8,9,7,5,1,2,8,5,8,2,4,3,2,2,4,5,1,3,8,3,8
39:7,5,4,1,2,3,3,5,7,8,7,6,2,5,2,8,2,7,8,5,4,2,2,7,6,4,9,2,6,8
40:9,3,7,8,4,8,1,9,2,5,9,2,8,6,7,1,7,3,3,3,1,3,6,8,1,5,9,7,5,7
41:6,3,2,1,2,4,8,5,8,3,7,7,2,4,7,1,5,9,2,2,3,2,2,9,4,1,1,7,7,1
42:2,9,2,5,1,5,7,8,2,1,3,5,1,9,1,8,1,5,7,8,4,5,4,8,5,6,4,8,9,1
43:3,2,6,3,3,1,1,7,8,9,8,9,1,8,9,5,2,4,2,2,3,1,8,4,7,8,8,3,2,8
44:6,5,9,3,9,2,8,1,6,3,5,9,5,1,1,4,5,5,8,6,4,4,2,6,5,6,2,8,5,8
45:9,6,4,3,2,4,7,4,2,6,4,8,1,2,1,3,5,4,9,2,3,8,9,5,5,9,6,7,2,6
46:4,9,3,1,3,9,5,1,1,1,1,1,9,7,7,9,7,5,8,8,6,2,9,8,8,3,5,6,9,1
47:6,1,6,6,6,2,3,8,8,4,9,6,6,6,4,1,6,3,2,4,3,8,8,9,5,5,8,1,5,2
48:7,6,6,1,4,1,5,7,1,7,8,7,2,2,5,4,1,3,1,5,4,7,9,1,9,4,5,6,2,8
49:4,3,2,3,8,3,4,4,6,1,7,1,7,2,2,5,1,7,4,6,3,3,1,8,4,6,4,8,3,5
50:9,6,8,2,4,8,7,1,7,7,9,6,8,1,1,4,2,7,5,2,1,9,6,9,4,9,2,4,7,6
51:5,3,3,7,4,4,4,2,6,1,2,3,2,8,1,7,4,6,3,7,1,6,6,4,9,3,9,9,3,2
52:5,2,3,5,9,7,9,9,6,4,4,3,6,1,6,5,9,9,8,4,3,1,6,5,3,4,7,8,5,4
53:3,1,1,2,6,5,4,5,6,9,5,3,7,4,8,4,1,8,6,3,4,1,6,3,7,5,4,5,5,3
54:6,6,3,4,3,8,2,3,5,7,6,3,8,7,6,3,9,7,8,8,2,4,5,7,7,1,1,8,5,2
55:3,9,3,2,1,7,4,4,1,8,6,6,7,1,6,1,4,8,9,9,7,6,3,1,3,6,4,3,4,6
56:7,8,6,3,6,7,8,5,1,7,2,2,1,8,5,2,9,6,8,3,6,9,7,5,6,5,3,4,3,4
57:4,7,7,5,1,2,2,4,3,1,6,4,8,9,1,1,6,9,7,1,7,5,4,7,8,1,6,9,1,3
58:6,4,3,8,6,7,5,1,2,3,6,6,2,1,2,7,5,8,8,8,3,5,4,2,5,4,7,7,8,5
59:3,2,5,7,1,5,3,8,9,8,3,3,6,5,2,3,8,8,6,3,1,4,7,2,7,1,3,1,4,8
60:9,5,5,7,4,8,7,6,2,1,6,3,6,5,6,2,6,9,2,2,3,7,3,8,1,8,2,7,3,2
61:8,7,3,1,4,5,8,2,9,2,5,7,8,1,2,6,8,4,9,2,5,7,7,7,8,9,6,1,7,1
62:3,1,1,3,8,3,6,2,4,1,6,2,8,4,5,2,5,2,2,3,1,7,1,6,3,2,2,5,8,4
63:1,4,1,2,3,3,5,5,3,5,7,8,6,3,2,7,4,3,9,4,2,9,5,4,2,9,6,3,1,2
64:2,5,3,5,1,7,3,7,1,7,6,2,9,5,7,4,4,4,1,2,7,8,9,8,2,6,9,6,3,4
65:4,3,8,1,3,8,9,6,2,5,1,2,9,3,9,9,1,5,2,8,1,5,5,5,4,6,8,3,9,5
66:2,8,7,2,4,7,1,2,2,1,1,4,5,3,6,8,2,5,7,4,5,3,2,2,5,4,7,2,9,4
67:5,9,2,5,1,7,9,4,2,6,6,2,6,1,7,4,6,8,4,6,8,5,3,8,2,4,7,9,8,6
68:2,1,5,6,2,5,2,2,6,8,9,6,8,7,5,6,6,8,4,7,4,1,7,5,6,5,9,9,6,3
69:6,3,2,3,7,1,1,5,9,9,4,4,7,5,4,8,6,8,1,5,8,2,8,6,5,9,7,8,1,1
70:1,5,9,2,9,5,2,8,8,6,7,2,2,8,8,6,7,9,9,8,5,4,5,9,3,9,2,9,2,2
71:1,7,4,3,7,9,4,9,3,9,1,5,1,1,1,2,4,9,1,5,6,7,1,2,4,9,6,1,9,1
72:2,5,5,5,3,7,6,3,9,6,7,5,8,6,8,7,3,8,2,4,5,3,4,4,4,6,3,5,1,7
73:1,9,1,5,5,2,4,9,2,8,5,7,3,1,7,1,1,4,4,6,4,1,1,2,2,4,9,3,4,6
74:6,9,9,3,6,4,2,2,9,9,1,8,3,1,9,9,9,5,3,7,7,6,7,9,9,4,9,2,4,2
75:2,6,6,9,5,4,4,4,1,9,5,1,7,5,6,5,6,2,4,4,3,6,6,8,6,5,3,3,6,1
76:6,5,4,1,3,6,4,1,4,5,4,8,6,3,2,3,5,2,8,6,3,5,5,8,5,3,5,5,4,9
77:6,4,8,3,1,9,7,8,8,6,7,9,7,4,1,5,4,7,8,7,6,1,8,9,5,6,7,9,8,9
78:2,3,1,7,3,6,2,7,5,3,2,6,4,4,6,2,2,6,2,4,8,3,1,1,1,8,2,6,2,3
79:5,8,7,1,7,6,7,2,4,1,1,7,2,4,7,2,1,4,2,6,6,3,5,9,2,3,1,2,6,1
80:1,5,8,4,6,5,1,4,4,9,4,3,7,7,6,5,1,4,9,1,7,8,8,6,3,4,9,7,3,1
81:7,9,5,3,3,8,7,9,7,2,2,1,2,5,1,1,8,6,7,6,4,4,6,1,1,4,1,8,2,1
82:5,6,1,5,1,1,3,2,9,4,8,7,5,1,7,9,9,2,5,2,8,1,2,3,8,3,3,8,4,3
83:8,5,9,7,2,2,1,7,8,4,3,1,4,7,9,9,9,8,1,2,7,8,7,4,5,5,7,7,8,8
84:3,1,3,9,6,6,2,3,3,4,9,3,5,3,7,5,7,2,2,6,9,9,2,8,9,2,5,8,3,6
85:1,4,6,2,5,7,4,9,3,2,1,6,8,4,1,9,7,5,2,4,4,3,6,6,4,2,7,8,7,4
86:2,2,8,2,1,9,8,5,9,9,7,9,5,2,5,4,1,8,9,8,2,2,3,8,6,3,3,9,3,7
87:4,2,1,8,8,3,3,4,9,6,6,3,3,4,2,1,5,4,8,2,7,7,1,5,6,3,5,4,7,8
88:3,7,3,7,5,2,8,3,6,3,9,5,6,3,5,7,9,6,5,4,1,6,3,1,8,4,7,2,5,1
89:3,9,6,5,2,4,1,5,7,3,8,4,3,8,1,4,1,8,7,6,2,3,4,4,1,2,3,3,1,3
90:5,6,2,5,7,1,2,6,1,4,1,3,6,8,5,8,6,8,3,1,9,1,9,9,8,1,7,8,8,6
91:6,2,7,4,3,5,2,2,9,5,6,8,4,8,6,7,8,5,8,6,1,8,1,5,3,3,2,3,6,9
92:8,1,1,3,1,5,2,5,2,3,5,5,9,6,5,6,2,3,5,3,3,9,1,1,9,1,1,8,1,1
93:7,6,9,7,9,4,1,6,7,4,7,6,5,4,6,7,2,2,1,6,6,2,8,7,6,5,1,4,4,1
94:8,8,6,1,2,4,6,3,5,8,2,7,8,6,8,8,6,7,7,8,3,8,7,2,7,5,9,9,2,5
95:8,7,8,8,6,1,5,2,5,1,1,5,4,8,5,5,3,3,7,7,1,6,8,7,3,5,1,8,5,3
96:8,9,2,6,6,1,8,3,8,9,1,9,2,7,1,6,2,4,7,8,9,4,6,1,2,5,7,1,7,9
97:4,8,7,4,6,6,9,7,3,5,8,4,3,4,5,4,1,4,8,3,8,2,7,4,5,9,7,2,3,3
98:3,5,4,3,6,4,1,6,9,2,4,7,4,3,2,3,2,2,2,5,8,7,4,3,6,2,8,3,7,8
99:5,6,1,9,1,7,1,2,3,3,5,1,9,2,2,5,1,8,8,5,9,5,9,1,4,1,6,1,4,4
100:8,5,1,4,6,3,7,3,1,1,2,9,9,3,2,7,7,6,6,2,1,7,7,2,5,1,5,9,2,3
